current_location,current_experience,current_date
0,0, 0
2,10, 13
5,30, 18
9,30, 27
11,60, 32
B2,160, 39
current_location,current_experience,current_date
0,0, 0
1,10, 10
3,50, 18
7,50, 21
10,50, 25
12,50, 30
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
1,0, 37
current_location,current_experience,current_date
0,0, 0
1,0, 27
current_location,current_experience,current_date
0,0, 0
1,0, 15
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
2,0, 4
current_location,current_experience,current_date
0,0, 0
2,0, 5
4,0, 16
current_location,current_experience,current_date
0,0, 0
1,10, 13
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
1,0, 12
current_location,current_experience,current_date
0,0, 0
1,0, 26
1,0, 33
1,0, 34
1,0, 34
1,10, 36
current_location,current_experience,current_date
0,0, 0
current_location,current_experience,current_date
0,0, 0
1,0, 28
current_location,current_experience,current_date
0,0, 0
1,0, 65
current_location,current_experience,current_date
0,0, 0
1,0, 11
current_location,current_experience,current_date
0,0, 0
2,10, 8
5,30, 27
5,30, 42
current_location,current_experience,current_date
0,0, 0
2,0, 17
current_location,current_experience,current_date
0,0, 0
2,0, 4
5,0, 12
9,0, 21
11,30, 27
B2,130, 32
